sample_id,seedling_id,seed_weight2,seed_number2,husk_number2
A40-7,331,0.0528,,
A40-8,332,0.065,,
A40-10,334,0.0128,,
A40-11,335,0.0615,,
A40-12,336,0.0098,,
A61-1,496,0.0078,2,6
A61-5,500,0.0088,2,4
A61-6,501,0.0147,,
A61-8,503,0.0063,1,4
A61-12,507,0.0059,1,2
A100-10,874,0.0133,,
B43-1,1261,0.0574,8,22
B43-3,1263,0.0292,5,16
B45-1,1267,0.0406,1,32
B45-2,1268,0.0672,12,50
B45-3,1269,0.4781,34,74
B54-1,1339,,0,12
B54-2,1340,,0,10
B54-3,1341,,0,16
B54-5,1343,0.0528,8,16
B54-6,1344,,0,6
B54-7,1345,0.0238,1,10
B54-8,1346,0.0264,1,12
B54-9,1347,0.0621,9,18
B54-10,1348,,0,12
B54-11,1349,,0,18
B54-12,1350,,0,10
B55-1,1351,0.0323,4,10
B55-5,1355,,0,4
B55-6,1356,,0,4
B57-1,1363,0.0228,1,14
B57-5,1367,0.0464,1,28
B57-3,1365,0.2508,21,64
B59-1,1378,0.016,1,8
B59-3,1380,0.0178,1,12
B59-4,1381,,0,8
B59-5,1382,0.0289,6,22
B59-6,1383,0.034,5,14
B59-7,1384,,0,16
B60-2,1388,,0,12
B60-3,1389,0.0358,1,16
B60-5,1391,0.0232,1,14
B60-6,1392,,0,10
B60-8,1394,,0,12
B60-9,1395,,0,20
B61-1,1396,0.0075,1,4
B61-2,1397,,0,4
B61-4,1399,,0,4
B61-5,1400,,0,2
B61-7,1402,,0,4
B61-8,1403,0.0198,1,4
B61-10,1405,0.0105,2,10
B61-11,1406,0.0135,3,10
B61-12,1407,,0,2
B65-9,1449,0.0461,1,24
B75-3,1539,0.0372,,
C14-2,1895,0.2844,,
C14-3,1896,0.2163,,
C15-1,1897,0.504,,
C42-1,2149,0.3152,,
C42-8,2156,0.2601,,
C46-1,2170,0.019,1,2
C46-2,2171,0.0209,4,8
C46-4,2173,0.011,2,4
C46-6,2175,0.0122,1,2
C47-3,2178,0.0497,3,6
C48-1,2182,0.0808,10,20
C48-2,2183,0.1899,15,30
C48-3,2184,0.081,8,16
C48-4,2185,0.0902,16,32
C48-5,2186,0.0879,10,20
C48-6,2187,0.0269,1,2
C49-1,2188,0.0175,4,8
C49-3,2190,0.0071,2,4
C49-4,2191,0.0244,3,6
C49-5,2192,0.0167,1,2
C49-7,2194,0.0091,2,4
C49-9,2196,0.0296,4,8
C50-2,2198,0.0297,4,8
C50-3,2199,0.046,7,14
C50-4,2200,0.056,6,12
C50-5,2201,0.0195,4,8
C50-6,2202,0.0338,3,6
C50-7,2203,0.0138,2,4
C50-8,2204,0.0991,10,20
C50-9,2205,0.0159,2,4
C51-1,2206,0.0494,5,10
C51-2,2207,0.0291,4,8
C51-3,2208,0.0595,5,10
C51-4,2209,0.0641,5,10
C51-5,2210,0.0163,1,2
C51-6,2211,0.0311,4,8
C51-7,2212,0.0417,6,12
C51-9,2214,0.071,4,8
C52-1,2215,0.0058,1,2
C52-5,2219,0.0079,1,2
C52-8,2222,0.0111,2,4
C52-10,2224,0.0053,1,2
C52-11,2225,0.0086,2,4
C53-2,2228,0.0259,3,6
C53-5,2231,0.0495,6,12
C53-6,2232,0.0228,2,4
C53-7,2233,0.0379,6,12
C53-8,2234,0.0308,6,12
C53-9,2235,0.0212,4,8
C53-12,2238,0.0325,3,6
C54-1,2239,0.0044,,
C54-2,2240,0.0513,5,10
C54-3,2241,0.0144,1,2
C54-4,2242,0.0894,9,18
C54-6,2244,0.0396,4,8
C54-9,2247,0.0592,10,20
C54-11,2249,0.0278,2,4
C54-12,2250,0.0436,6,12
C55-5,2255,0.0336,6,12
C55-6,2256,0.0935,6,12
C56-4,2260,0.0154,3,6
C56-5,2261,0.0519,8,16
C56-6,2262,0.0309,2,4
C57-2,2264,0.0378,4,8
C57-3,2265,0.0475,6,12
C57-4,2266,0.0688,7,14
C58-1,2269,0.0237,3,6
C58-2,2270,0.0119,2,4
C58-4,2272,0.0302,4,8
C58-5,2273,0.0042,,
C58-7,2275,0.0218,4,8
C59-1,2278,0.0288,4,8
C59-5,2282,0.017,1,2
C59-6,2283,0.0171,1,2
C59-7,2284,0.022,5,10
C59-9,2286,0.0858,7,14
C60-1,2287,0.0271,3,6
C60-2,2288,0.1452,11,22
C60-4,2290,0.0507,4,8
C60-5,2291,0.0508,6,12
C60-6,2292,0.0338,3,6
C60-7,2293,0.0344,3,6
C61-1,2296,0.0076,2,4
C61-3,2298,0.0057,1,2
C61-7,2302,0.0028,1,2
C61-8,2303,0.0062,1,2
C61-10,2305,0.0075,2,4
C62-1,2308,0.0056,,
C62-5,2312,0.0111,1,2
C62-7,2314,0.0103,1,2
C62-9,2316,0.0089,1,2
C62-10,2317,0.009,1,2
C63-3,2322,0.0382,2,4
C63-4,2323,0.0677,4,8
C63-5,2324,0.0129,1,2
C63-6,2325,0.0123,1,2
C63-7,2326,0.0294,3,6
C63-9,2328,0.0288,1,2
C63-10,2329,0.0472,4,8
C63-11,2330,0.0162,1,2
C63-12,2331,0.0725,13,26
C64-3,2334,0.0105,1,2
C64-4,2335,0.0574,11,22
C65-1,2341,0.0243,2,4
C65-2,2342,0.0677,4,8
C65-4,2344,0.061,5,10
C66-6,2355,0.0438,2,4
C66-7,2356,0.1334,14,28
C66-8,2357,0.1467,17,34
C67-1,2359,0.0125,4,8
C67-4,2362,0.0101,2,4
C67-7,2365,0.0117,2,4
C67-10,2368,0.0224,4,8
C67-11,2369,0.0175,3,6
C67-12,2370,0.0065,1,2
C68-6,2376,0.0247,3,6
C68-7,2377,0.0415,8,16
C68-8,2378,0.0216,2,4
C69-5,2387,0.0252,2,4
C69-6,2388,0.0339,6,12
C69-7,2389,0.0381,2,4
C69-8,2390,0.0799,5,10
C69-11,2393,0.0411,4,8
C69-12,2394,0.0926,9,18
C70-2,2396,0.0194,4,8
C70-3,2397,0.0126,3,6
C71-2,2408,0.0124,4,8
C71-3,2409,0.1317,14,28
C71-7,2413,0.0843,9,18
C72-5,2423,0.0725,7,14
C72-10,2428,0.0631,5,10
C72-11,2429,0.0722,4,8
C74-1,2434,0.0189,,
C74-2,2435,0.0183,,
C74-3,2436,0.0143,,
C75-1,2437,0.0441,,
C75-2,2438,0.039,,
C75-3,2439,0.0263,,
C77-1,2446,0.0092,,
C77-4,2449,0.0058,,
C77-6,2451,0.0115,,
C78-1,2452,0.0369,,
C78-2,2453,0.0119,,
C78-3,2454,0.0325,,
C78-4,2455,0.0179,,
C78-6,2457,0.0131,,
C81-3,2478,0.0128,,
C81-4,2479,0.0185,,
C81-5,2480,0.0247,,
C81-8,2483,0.0095,,
C84-11,2519,0.0138,,
C87-2,2534,0.024,,
C89-9,2556,0.0986,,
C90-4,2560,0.0156,,
D17-4,2809,0.1265,,
D43-1,3061,0.0229,1,2
D43-2,3062,0.0524,4,8
D43-3,3063,0.0275,2,4
D44-1,3064,0.1212,17,34
D44-2,3065,0.1331,12,24
D44-3,3066,0.1577,21,42
D45-1,3067,0.1328,18,36
D45-2,3068,0.0658,7,14
D45-3,3069,0.2098,31,62
D46-1,3070,0.0294,3,6
D46-3,3072,0.0279,5,10
D46-5,3074,0.0222,3,6
D46-6,3075,0.0183,2,4
D47-1,3076,0.0434,6,12
D47-2,3077,0.0733,7,14
D47-3,3078,0.0256,4,8
D47-4,3079,0.1131,11,22
D47-5,3080,0.0987,8,16
D47-6,3081,0.047,4,8
D48-1,3082,0.1967,17,34
D48-2,3083,0.0912,9,18
D48-3,3084,0.1374,9,18
D48-4,3085,0.0641,7,14
D48-5,3086,0.0164,16,32
D48-6,3087,0.0631,7,14
D49-1,3088,0.0198,1,2
D49-2,3089,0.0163,3,6
D49-3,3090,0.0111,2,4
D49-4,3091,0.009,2,4
D49-5,3092,0.0075,1,2
D49-6,3093,0.015,3,6
D49-7,3094,0.0096,2,4
D49-8,3095,0.0097,2,4
D49-9,3096,0.0174,2,4
D50-1,3097,0.0212,4,8
D50-2,3098,0.0205,2,4
D50-3,3099,0.0072,2,4
D50-4,3100,0.0056,2,4
D50-5,3101,0.0464,6,12
D50-6,3102,0.0338,6,12
D50-7,3103,0.0155,3,6
D50-8,3104,0.0354,4,8
D50-9,3105,0.0325,4,8
D51-1,3106,0.1227,14,28
D51-2,3107,0.0258,5,10
D51-3,3108,0.0517,5,10
D51-4,3109,0.0543,4,8
D51-5,3110,0.1021,13,26
D51-6,3111,0.0407,3,6
D51-7,3112,0.0274,4,8
D51-8,3113,0.0892,8,16
D51-9,3114,0.0484,4,8
D52-1,3115,0.0083,2,4
D52-2,3116,0.0055,1,2
D52-3,3117,0.0078,1,2
D52-4,3118,0.0094,2,4
D52-5,3119,0.01,2,4
D52-6,3120,0.0018,2,4
D52-7,3121,0.0033,1,2
D52-8,3122,0.0064,2,4
D52-9,3123,0.0093,2,4
D52-10,3124,0.0077,1,2
D52-11,3125,,0,2
D52-12,3126,0.0115,3,6
D53-1,3127,0.0193,1,2
D53-2,3128,0.0238,3,6
D53-5,3131,0.0417,6,12
D53-7,3133,0.0591,8,16
D53-8,3134,0.0175,5,10
D53-10,3136,0.0285,5,10
D53-11,3137,0.0137,3,6
D54-1,3139,0.0135,2,4
D54-2,3140,0.0286,5,10
D54-3,3141,0.0171,2,4
D54-4,3142,0.1309,3,6
D54-5,3143,0.132,11,22
D54-6,3144,0.0178,2,4
D54-8,3146,0.0396,4,8
D54-9,3147,0.0145,2,4
D54-10,3148,0.0423,6,12
D54-11,3149,0.0728,7,14
D54-12,3150,0.0888,8,16
D55-1,3151,0.023,4,8
D55-3,3153,0.0187,4,8
D55-4,3154,0.0402,6,12
D56-1,3157,0.0331,5,16
D56-2,3158,0.081,10,28
D56-5,3161,0.0998,11,24
D57-3,3165,0.2539,26,52
D57-4,3166,0.3504,35,74
D57-5,3167,0.1115,13,36
D58-1,3169,0.017,2,4
D58-2,3170,0.0155,3,6
D58-3,3171,0.0103,2,4
D58-4,3172,0.0119,2,4
D58-6,3174,0.0217,2,4
D59-2,3179,0.0517,3,6
D59-5,3182,0.0444,6,12
D59-7,3184,0.0667,6,12
D59-8,3185,0.0532,5,10
D59-9,3186,0.0206,3,6
D60-1,3187,0.2455,22,44
D60-3,3189,0.0371,3,14
D60-5,3191,0.0702,9,24
D60-7,3193,0.0653,8,26
D60-8,3194,0.0717,7,14
D60-9,3195,0.083,10,20
D61-1,3196,0.0097,2,4
D61-2,3197,0.0075,1,2
D61-3,3198,0.0099,2,4
D61-6,3201,0.0085,2,4
D61-8,3203,0.0143,3,6
D61-10,3205,0.0031,1,2
D61-11,3206,0.0159,3,6
D61-12,3207,0.0056,1,2
D62-2,3209,0.0178,4,8
D62-3,3210,0.0112,2,4
D62-4,3211,0.0372,5,10
D62-5,3212,0.0531,6,12
D62-6,3213,0.0533,5,10
D62-8,3215,0.015,3,6
D62-12,3219,0.0167,2,4
D63-4,3223,0.0551,11,22
D63-5,3224,0.0683,12,24
D63-7,3226,0.025,5,10
D63-8,3227,0.1038,10,20
D63-9,3228,0.0427,5,10
D63-10,3229,0.0779,,
D63-11,3230,0.1957,18,36
D63-12,3231,0.049,8,16
D64-1,3232,0.104,1,2
D64-4,3235,0.0249,4,8
D64-5,3236,0.0161,4,8
D65-3,3243,0.0249,2,4
D65-7,3247,0.0267,2,4
D65-8,3248,0.0572,6,12
D66-4,3253,0.0541,6,12
D66-5,3254,0.0576,10,20
D66-9,3258,0.1415,14,28
D67-1,3259,0.0072,2,4
D67-2,3260,0.0058,1,2
D67-3,3261,0.0081,2,4
D67-5,3263,0.0179,4,8
D67-8,3266,0.026,5,10
D67-11,3269,0.0187,4,8
D68-2,3272,0.0299,8,16
D68-3,3273,0.0395,6,12
D68-4,3274,0.0274,6,12
D68-8,3278,0.0347,6,12
D68-9,3279,0.0692,44,88
D68-10,3280,0.0222,6,12
D69-1,3283,0.0533,4,8
D69-2,3284,0.1545,14,28
D69-3,3285,0.0956,9,18
D69-8,3290,0.0823,7,14
D69-10,3292,0.0844,5,10
D69-12,3294,0.0677,5,10
D70-2,3296,0.0194,4,8
D70-8,3302,0.0192,4,8
D70-10,3304,0.0049,1,2
D71-3,3309,0.0444,6,18
D71-4,3310,0.0169,4,12
D71-7,3313,0.0573,5,10
D72-4,3322,0.1298,9,32
D72-10,3328,0.1234,14,28
D72-12,3330,0.0037,1,2
